id_depto,depto,prov_id,prov,año,evento,edad_id,edad_desc,semanas,cantidad
434,Lanús,06,Buenos Aires,2024,Dengue,5,De 5 a 9 años,16,3
133,Quitilipi,22,Chaco,2024,Dengue,8,De 20 a 24 años,1,5
412,José C. Paz,06,Buenos Aires,2024,Dengue,7,De 15 a 19 años,15,43
999,desconocido,99,desconocida,2024,Dengue,10,De 35 a 44 años,8,34
147,Santa María,14,Córdoba,2024,Dengue,9,De 25 a 34 años,14,119
140,San Fernando,22,Chaco,2024,Dengue,5,De 5 a 9 años,4,43
408,Hurlingham,06,Buenos Aires,2024,Dengue,9,De 25 a 34 años,10,14
154,San Carlos,66,Salta,2024,Dengue,9,De 25 a 34 años,10,3
999,desconocido,14,Córdoba,2024,Dengue,11,De 45 a 65 años,14,5
056,General Donovan,22,Chaco,2024,Dengue,8,De 20 a 24 años,6,6
999,desconocido,02,CABA,2024,Dengue,7,De 15 a 19 años,16,2
042,General Roca,62,Río Negro,2024,Dengue,7,De 15 a 19 años,11,1
091,Simoca,90,Tucumán,2024,Dengue,7,De 15 a 19 años,7,3
